timestamp,symbol,side,entry_price,exit_price,quantity,pnl,pnl_R,duration_ms,slippage_entry,slippage_exit,exit_reason,mae,mfe
1770374504711,DOGEUSDT,SELL,0.09469,0.09468,3889,0.03889,0.0168,539,,,position_closed,,
1770374541448,DOGEUSDT,BUY,0.09088,0.09089,3775,0.03775,0.0163,539,,,position_closed,,
1770374597093,DOGEUSDT,SELL,0.09441,0.0944,3693,0.03693,0.016,616,,,position_closed,,
1770374651452,DOGEUSDT,SELL,0.09426,0.094255,3679,0.018395,0.0079,488,,,position_closed,,
1770374685025,ETHUSDT,SELL,1963.03,1963.02,0.2,0.002,0.0008,594,,,position_closed,,
1770374735859,XRPUSDT,SELL,1.4347,1.4346,243,0.0243,0.0093,910,,,confidence_exit,,
1770374750942,DOGEUSDT,SELL,0.0,0.09384,16,0.0032,0.0,0,,,grid_harvest,,
1770374772732,DOGEUSDT,BUY,0.0,0.09384,16,0.0032,0.0,0,,,grid_harvest,,
1770374781614,ETHUSDT,SELL,1898.42,1921.46,0.23,-5.2992,-1.7895,9417,,,confidence_exit,,
1770374782681,DOGEUSDT,BUY,0.09423,0.092135,3452,-7.23194,-2.5566,12843,,,confidence_exit,,
1770374788213,DOGEUSDT,SELL,0.0,0.09403,16,0.0032,0.0,0,,,grid_harvest,,
1770374791047,DOGEUSDT,BUY,0.0,0.09622,16,0.04432,0.0,0,,,grid_harvest,,
1770374791047,DOGEUSDT,SELL,0.0,0.09355,16,0.01408,0.0,0,,,grid_harvest,,
1770374817312,SOLUSDT,BUY,81.33,81.3,0.7000000000000001,-0.021,-0.0065,591,,,position_closed,,
1770374817312,DOGEUSDT,SELL,0.0,0.09443,16,0.0032,0.0,0,,,grid_harvest,,
1770374861439,ETHUSDT,BUY,1963.46,1924.7849999999999,0.24,-9.282,-2.8733,357,,,position_closed,,
1770374867546,DOGEUSDT,SELL,0.0,0.09348,20,0.004,0.0,0,,,grid_harvest,,
1770374877505,DOGEUSDT,SELL,0.0,0.09407,20,0.004,0.0,0,,,grid_harvest,,
1770374883063,DOGEUSDT,BUY,0.0,0.0933,20,0.004,0.0,0,,,grid_harvest,,
1770374883063,DOGEUSDT,BUY,0.0,0.09349,20,0.004,0.0,0,,,grid_harvest,,
1770374902106,DOGEUSDT,BUY,0.0972,0.09622982,1814,-1.759907,-0.544,8036,,,sl_hit,,
1770374902624,ETHUSDT,BUY,1963.46,1924.6950000000002,0.12,-4.6518,-1.4576,6516,,,confidence_exit,,
1770375138202,SOLUSDT,BUY,80.84,80.845,6.1000000000000005,0.0305,0.0244,204,,,position_closed,,
1770375153437,ETHUSDT,SELL,1958.52,1958.51,0.03,0.0003,0.0002,506,,,position_closed,,
1770375203495,XRPUSDT,BUY,1.3464,1.3465,30,0.003,0.0024,1970,,,confidence_exit,,
1770375223507,DOGEUSDT,BUY,0.08973,0.08974,316,0.00316,0.0025,231,,,position_closed,,
1770375252246,ETHUSDT,SELL,1953.47,1953.44,0.03,0.0009,0.0007,4728,,,confidence_exit,,
1770375275662,SOLUSDT,SELL,84.02,84.00999999999999,0.30000000000000004,0.003,0.0024,19618,,,confidence_exit,,
1770375289986,XRPUSDT,SELL,1.4,1.3999,29,0.0029,0.0023,11783,,,confidence_exit,,
1770375311903,ETHUSDT,SELL,1953.83,1953.82,0.03,0.0003,0.0002,858,,,confidence_exit,,
1770375342891,ETHUSDT,BUY,1964.54,1964.52,0.25,-0.005,-0.02,801,,,sl_hit,,
1770375362207,SOLUSDT,SELL,80.97,80.965,6.1000000000000005,0.0305,0.122,742,,,confidence_exit,,
1770375368268,DOGEUSDT,BUY,0.09438,0.09439,5297,0.05297,0.2119,1061,,,confidence_exit,,
1770375604477,DOGEUSDT,BUY,0.09624,0.09625,654,0.00654,0.0052,1890,,,confidence_exit,,
1770375612854,ETHUSDT,BUY,1961.39,1961.4,0.03,0.0003,0.0002,486,,,position_closed,,
1770375638049,DOGEUSDT,SELL,0.09197,0.09196,635,0.00635,0.0051,487,,,position_closed,,
1770375647573,SOLUSDT,SELL,83.6,83.59,0.5,0.005,0.004,2023,,,confidence_exit,,
1770375663941,XRPUSDT,BUY,1.3752,1.3753,49,0.0049,0.0039,488,,,position_closed,,
